date,hospitalCases,newAdmissions,newCasesByPublishDate,retail_and_recreation_change,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-09-04,818.0,155.0,1940,-21.0,-10.0,61.0,-35.0,-40.0,9.0
2020-09-05,812.0,130.0,1813,-26.0,-12.0,56.0,-30.0,-10.0,3.0
2020-09-06,817.0,139.0,2988,-21.0,-12.0,69.0,-27.0,-7.0,2.0
2020-09-07,902.0,146.0,2948,-17.0,-10.0,58.0,-36.0,-43.0,9.0
2020-09-08,894.0,186.0,2460,-19.0,-10.0,74.0,-35.0,-42.0,9.0
2020-09-09,924.0,203.0,2659,-20.0,-11.0,67.0,-36.0,-39.0,9.0
2020-09-10,944.0,219.0,2919,-20.0,-9.0,78.0,-36.0,-40.0,9.0
2020-09-11,770.0,230.0,3539,-22.0,-9.0,62.0,-32.0,-38.0,8.0
2020-09-12,812.0,218.0,3497,-27.0,-11.0,61.0,-28.0,-9.0,3.0
2020-09-13,843.0,226.0,3330,-21.0,-12.0,94.0,-24.0,-7.0,1.0
2020-09-14,982.0,258.0,2621,-17.0,-9.0,104.0,-32.0,-36.0,8.0
2020-09-15,1066.0,271.0,3105,-19.0,-9.0,91.0,-34.0,-36.0,9.0
2020-09-16,1106.0,285.0,3991,-21.0,-11.0,71.0,-35.0,-36.0,9.0
2020-09-17,1162.0,265.0,3395,-20.0,-9.0,88.0,-35.0,-36.0,9.0
2020-09-18,1221.0,263.0,4322,-22.0,-9.0,75.0,-32.0,-35.0,8.0
2020-09-19,1300.0,261.0,4422,-27.0,-11.0,67.0,-29.0,-10.0,3.0
2020-09-20,1398.0,289.0,3899,-22.0,-12.0,85.0,-26.0,-7.0,2.0
2020-09-21,1558.0,372.0,4368,-17.0,-8.0,86.0,-34.0,-37.0,8.0
2020-09-22,1636.0,352.0,4926,-22.0,-9.0,64.0,-36.0,-36.0,9.0
2020-09-23,1730.0,424.0,6178,-27.0,-11.0,20.0,-40.0,-35.0,11.0
2020-09-24,1846.0,425.0,6634,-26.0,-9.0,28.0,-41.0,-35.0,11.0
2020-09-25,2020.0,382.0,6874,-25.0,-7.0,29.0,-37.0,-34.0,10.0
2020-09-26,2033.0,352.0,6042,-28.0,-10.0,28.0,-34.0,-9.0,5.0
2020-09-27,2188.0,343.0,5693,-25.0,-13.0,45.0,-32.0,-7.0,3.0
2020-09-28,2399.0,445.0,4044,-19.0,-8.0,45.0,-38.0,-35.0,10.0
2020-09-29,2420.0,442.0,7143,-22.0,-8.0,47.0,-38.0,-34.0,10.0
2020-09-30,2530.0,452.0,7108,-26.0,-11.0,4.0,-40.0,-34.0,11.0
2020-10-01,2592.0,529.0,6914,-23.0,-6.0,36.0,-39.0,-32.0,10.0
2020-10-02,2723.0,529.0,6968,-30.0,-10.0,4.0,-37.0,-32.0,11.0
2020-10-03,2867.0,533.0,12872,-34.0,-12.0,-20.0,-40.0,-12.0,7.0
2020-10-04,3056.0,632.0,22961,-31.0,-15.0,-4.0,-38.0,-9.0,5.0
2020-10-05,3370.0,630.0,12594,-24.0,-10.0,23.0,-37.0,-34.0,10.0
2020-10-06,3642.0,724.0,14542,-26.0,-9.0,20.0,-38.0,-34.0,10.0
2020-10-07,3893.0,694.0,14162,-24.0,-9.0,31.0,-38.0,-32.0,10.0
2020-10-08,4085.0,714.0,17540,-27.0,-9.0,21.0,-41.0,-33.0,11.0
2020-10-09,4170.0,708.0,13864,-28.0,-8.0,19.0,-37.0,-31.0,10.0
2020-10-10,4358.0,724.0,15166,-31.0,-10.0,14.0,-37.0,-8.0,6.0
