areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2020-11-10,14964,1848,20412,,
K02000001,United Kingdom,overview,2020-11-09,15141,1763,21350,,
K02000001,United Kingdom,overview,2020-11-08,14546,1687,20572,,
K02000001,United Kingdom,overview,2020-11-07,14314,1556,24957,,
K02000001,United Kingdom,overview,2020-11-06,13958,1414,23287,,
K02000001,United Kingdom,overview,2020-11-05,13796,1587,24141,,
K02000001,United Kingdom,overview,2020-11-04,13817,1677,25177,,
K02000001,United Kingdom,overview,2020-11-03,13749,1515,20018,,
K02000001,United Kingdom,overview,2020-11-02,13105,1566,18950,,
K02000001,United Kingdom,overview,2020-11-01,12230,1487,23254,,
K02000001,United Kingdom,overview,2020-10-31,12310,1456,21915,,
K02000001,United Kingdom,overview,2020-10-30,11788,1373,24405,,
K02000001,United Kingdom,overview,2020-10-29,11583,1584,23065,,
K02000001,United Kingdom,overview,2020-10-28,11434,1485,24701,,
K02000001,United Kingdom,overview,2020-10-27,10938,1490,22885,,
K02000001,United Kingdom,overview,2020-10-26,10108,1532,20890,,
K02000001,United Kingdom,overview,2020-10-25,9786,1420,19790,,
K02000001,United Kingdom,overview,2020-10-24,9262,1257,23012,,
K02000001,United Kingdom,overview,2020-10-23,8886,1290,20530,,
K02000001,United Kingdom,overview,2020-10-22,8311,1275,21242,,
K02000001,United Kingdom,overview,2020-10-21,8132,1259,26688,,
K02000001,United Kingdom,overview,2020-10-20,7852,1187,21331,,
K02000001,United Kingdom,overview,2020-10-19,7334,1095,18804,,
K02000001,United Kingdom,overview,2020-10-18,6829,1086,16982,,
K02000001,United Kingdom,overview,2020-10-17,6545,1026,16171,,
K02000001,United Kingdom,overview,2020-10-16,6296,911,15650,,
K02000001,United Kingdom,overview,2020-10-15,5933,1045,18980,,
K02000001,United Kingdom,overview,2020-10-14,5598,980,19724,,
K02000001,United Kingdom,overview,2020-10-13,5293,1023,17234,,
K02000001,United Kingdom,overview,2020-10-12,4959,884,13972,,
K02000001,United Kingdom,overview,2020-10-11,4670,823,12872,,
K02000001,United Kingdom,overview,2020-10-10,4358,720,15166,,
K02000001,United Kingdom,overview,2020-10-09,4170,703,13864,,
K02000001,United Kingdom,overview,2020-10-08,4085,711,17540,,
K02000001,United Kingdom,overview,2020-10-07,3893,685,14162,,
K02000001,United Kingdom,overview,2020-10-06,3642,722,14542,,
K02000001,United Kingdom,overview,2020-10-05,3370,624,12594,,
K02000001,United Kingdom,overview,2020-10-04,3056,628,22961,,
K02000001,United Kingdom,overview,2020-10-03,2867,531,12872,,
K02000001,United Kingdom,overview,2020-10-02,2723,528,6968,,
K02000001,United Kingdom,overview,2020-10-01,2592,525,6914,,
K02000001,United Kingdom,overview,2020-09-30,2530,452,7108,,
K02000001,United Kingdom,overview,2020-09-29,2420,439,7143,,
K02000001,United Kingdom,overview,2020-09-28,2399,443,4044,,
K02000001,United Kingdom,overview,2020-09-27,2188,340,5693,,
K02000001,United Kingdom,overview,2020-09-26,2033,351,6042,,
K02000001,United Kingdom,overview,2020-09-25,2020,383,6874,,
K02000001,United Kingdom,overview,2020-09-24,1846,422,6634,,
K02000001,United Kingdom,overview,2020-09-23,1730,422,6178,,
K02000001,United Kingdom,overview,2020-09-22,1636,350,4926,,
K02000001,United Kingdom,overview,2020-09-21,1558,369,4368,,
K02000001,United Kingdom,overview,2020-09-20,1398,289,3899,,
K02000001,United Kingdom,overview,2020-09-19,1300,260,4422,,
K02000001,United Kingdom,overview,2020-09-18,1221,262,4322,,
K02000001,United Kingdom,overview,2020-09-17,1162,263,3395,,
K02000001,United Kingdom,overview,2020-09-16,1106,285,3991,,
K02000001,United Kingdom,overview,2020-09-15,1066,270,3105,,
